INCIDENT_NUMBER,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,DAY_OF_WEEK,HOUR,Lat,Long
242021576,,BURGLARY - COMMERICAL,A1,Saturday ,20,42.35488211013427,-71.05369166201801
242021558,,TOWED MOTOR VEHICLE,C6,Saturday ,18,42.336326263640665,-71.05103151608392
242021610,,M/V ACCIDENT - PROPERTY DAMAGE,B3,Sunday   ,1,42.29716346533643,-71.07954018130887
242021535,,INVESTIGATE PERSON,A7,Saturday ,19,42.38783614504704,-71.01203797794051
242021613,,M/V ACCIDENT - PROPERTY DAMAGE,B3,Sunday   ,1,42.29158088989795,-71.07664627960064
242021566,,INVESTIGATE PERSON,E13,Saturday ,21,42.329552454569225,-71.11112428768338
242021550,,SICK ASSIST,A1,Saturday ,20,42.35002127719184,-71.06595675300073
242021494,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,Saturday ,18,42.25546876800573,-71.12417959419379
242021464,,VERBAL DISPUTE,C6,Friday   ,20,42.33930415714224,-71.05160423007139
242021553,,INVESTIGATE PERSON,B2,Saturday ,21,42.31460519831187,-71.07207474852972
242021534,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,C6,Saturday ,19,42.32812802708669,-71.05785994884454
232032011,,VERBAL DISPUTE,D4,Tuesday  ,23,42.34894667134007,-71.08574065103068
232032016,,SICK ASSIST,B3,Wednesday,0,42.30450829474744,-71.08075871058149
232031976,,INVESTIGATE PROPERTY,C6,Tuesday  ,18,42.31682136700303,-71.04842735659525
232031988,,ASSAULT - AGGRAVATED,B2,Tuesday  ,20,42.30698421067935,-71.07827069507675
232031794,,PROPERTY - LOST/ MISSING,B2,Tuesday  ,0,42.32866283555609,-71.08563401183545
232031962,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,C11,Tuesday  ,19,42.31531496849296,-71.06605105629555
232031795,,AUTO THEFT,D14,Saturday ,22,42.34905600030505,-71.15049849975023
232031987,,VANDALISM,B3,Tuesday  ,20,42.28774401793968,-71.08966310525813
232031989,,SICK ASSIST,C6,Tuesday  ,20,42.32779674180004,-71.05435602122697
232031801,,M/V ACCIDENT - OTHER,D14,Tuesday  ,0,42.34905600030505,-71.15049849975023
232031288,,FRAUD - CREDIT CARD / ATM FRAUD,C6,Sunday   ,0,42.34128750439044,-71.05467932649397
232031918,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,Monday   ,20,42.29755532959654,-71.05970910242573
232052741,,VANDALISM,D14,Tuesday  ,22,42.34996240307131,-71.14762530579942
232031995,,SICK/INJURED/MEDICAL - PERSON,A1,Tuesday  ,21,42.358922787510814,-71.0583535444055
252109380,,INVESTIGATE PERSON,A1,Monday   ,23,42.36169720241245,-71.06685877879289
252109321,,M/V ACCIDENT - PROPERTY DAMAGE,D4,Monday   ,18,42.34953096317302,-71.07220194071658
252109162,,BURGLARY - COMMERICAL,C6,Tuesday  ,23,42.32856401155175,-71.06835343222609
252109392,,ASSAULT - AGGRAVATED,A1,Tuesday  ,1,42.36529017042589,-71.06144452917803
252109382,,SICK ASSIST,B2,Monday   ,23,42.33611273824142,-71.10927826017357
252109240,,VANDALISM,D4,Monday   ,0,42.33954198983015,-71.06940876967543
252109381,,INVESTIGATE PROPERTY,B2,Monday   ,23,42.30938437411931,-71.08262277183324
252109344,,LARCENY THEFT FROM BUILDING,D4,Monday   ,19,42.34767066713248,-71.0762074220551
252109369,,LARCENY THEFT FROM BUILDING,E13,Monday   ,22,42.309718567672725,-71.10429431787648
252108606,,VAL - OPERATING AFTER REV/SUSP.,D14,Friday   ,18,42.353227000064656,-71.1344429754818
252109371,,VAL - VIOLATION OF AUTO LAW,C6,Monday   ,0,42.33520050294618,-71.0354081233095
252109368,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,Monday   ,21,42.323212242828895,-71.07079675514855
252109349,,INVESTIGATE PERSON,B3,Monday   ,19,42.278824665359394,-71.09405157892452
252109621,,M/V - LEAVING SCENE - PERSONAL INJURY,B3,Tuesday  ,20,42.27615691256161,-71.0955030303829
252109858,,LARCENY ALL OTHERS,B2,Tuesday  ,19,42.3250622232276,-71.07895079515417
262000009,,ASSAULT - SIMPLE,A1,Thursday ,0,42.35961801096227,-71.05180401708004
252109661,,LARCENY THEFT FROM BUILDING,B2,Tuesday  ,23,42.32809836324998,-71.08823477034535
252109853,,PROPERTY - LOST/ MISSING,E5,Wednesday,20,42.287093552591074,-71.14822128377165
252109451,,PROPERTY - LOST/ MISSING,B2,Sunday   ,0,42.32356109808435,-71.07374226399747
252109885,,INVESTIGATE PERSON,A1,Wednesday,22,42.35426247072012,-71.05883334162647
252109515,,PROPERTY - LOST/ MISSING,B2,Tuesday  ,2,42.3226211092516,-71.08431097415726
262000035,,INVESTIGATE PERSON,B2,Thursday ,2,42.312513339589394,-71.07928148079101
232053157,,INVESTIGATE PERSON,E5,Thursday ,0,42.287093552591074,-71.14822128377165
242023162,,SICK ASSIST,,Thursday ,21,42.35168787116556,-71.17409903700036
242023508,,SICK ASSIST,D14,Saturday ,2,42.339229991970846,-71.1563212696039
242023234,,SICK/INJURED/MEDICAL - PERSON,E5,Thursday ,0,42.28390243648311,-71.13086262643496
242023332,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,Thursday ,18,42.34675922745115,-71.13871496278264
242023512,,INVESTIGATE PERSON,B2,Saturday ,0,42.31985443478679,-71.07972518175252
242023436,,LARCENY SHOPLIFTING,C6,Friday   ,20,42.3280996604115,-71.06321676048991
242023443,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,B2,Friday   ,20,42.31026396984053,-71.0820190575081
242023419,,SICK ASSIST,D4,Friday   ,18,42.34329794595815,-71.06458096424923
242023434,,MISSING PERSON - LOCATED,B2,Friday   ,18,42.3298141166746,-71.07626715518634
242023461,,VERBAL DISPUTE,C11,Friday   ,21,42.30209442501829,-71.06575183262441
242023417,,VIOLATION - CITY ORDINANCE,A1,Friday   ,18,42.35074197291232,-71.06006134581432
242023445,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,Friday   ,20,42.376631668132326,-71.05593195497872
232019349,,FRAUD - CREDIT CARD / ATM FRAUD,C6,Tuesday  ,0,42.34128750439044,-71.05467932649397
232053227,,TOWED MOTOR VEHICLE,B2,Thursday ,18,42.32165901327758,-71.0919590369414
